open_time,open,high,low,close,volume,close_time
1642449600000,3218.79000000,3224.24000000,3141.10000000,3209.67000000,46696.16810000,1642463999999
1642464000000,3209.68000000,3243.87000000,3175.03000000,3182.33000000,39948.27530000,1642478399999
1642478400000,3182.32000000,3208.00000000,3163.17000000,3187.81000000,32002.76490000,1642492799999
1642492800000,3187.80000000,3191.61000000,3128.39000000,3171.21000000,55344.69920000,1642507199999
1642507200000,3171.22000000,3181.17000000,3100.18000000,3116.54000000,74339.43090000,1642521599999
1642521600000,3116.54000000,3140.25000000,3082.00000000,3127.67000000,53498.86100000,1642535999999
1642536000000,3127.68000000,3193.00000000,3100.28000000,3159.85000000,44000.24150000,1642550399999
1642550400000,3159.85000000,3174.87000000,3088.00000000,3099.38000000,51315.94310000,1642564799999
1642564800000,3099.39000000,3114.49000000,3046.82000000,3062.00000000,53071.23680000,1642579199999
1642579200000,3062.00000000,3130.33000000,3000.00000000,3117.28000000,78622.61280000,1642593599999
1642593600000,3117.15000000,3161.85000000,3110.57000000,3122.68000000,60961.63230000,1642607999999
1642608000000,3122.69000000,3158.78000000,3082.81000000,3128.17000000,54605.48420000,1642622399999
1642622400000,3128.18000000,3138.64000000,3081.86000000,3084.02000000,34419.66110000,1642636799999
1642636800000,3084.02000000,3131.17000000,3083.00000000,3125.14000000,28682.91410000,1642651199999
1642651200000,3125.13000000,3153.80000000,3112.90000000,3138.91000000,29171.01710000,1642665599999
1642665600000,3138.79000000,3155.00000000,3116.68000000,3151.86000000,31046.54460000,1642679999999
1642680000000,3151.86000000,3270.52000000,3127.59000000,3261.42000000,90694.43310000,1642694399999
1642694400000,3261.41000000,3273.37000000,3203.77000000,3215.28000000,47401.17940000,1642708799999
1642708800000,3215.28000000,3219.29000000,2987.15000000,3001.48000000,130600.61790000,1642723199999
1642723200000,3001.48000000,3034.12000000,2810.02000000,2837.22000000,203402.81890000,1642737599999
1642737600000,2837.21000000,2897.07000000,2833.19000000,2882.65000000,100123.39400000,1642751999999
1642752000000,2882.66000000,2900.00000000,2834.44000000,2848.17000000,80615.37260000,1642766399999
1642766400000,2848.18000000,2854.68000000,2730.39000000,2830.90000000,188947.25610000,1642780799999
1642780800000,2830.46000000,2861.58000000,2738.17000000,2741.92000000,99726.46790000,1642795199999
1642795200000,2741.91000000,2764.82000000,2403.00000000,2568.15000000,349206.39074000,1642809599999
1642809600000,2567.47000000,2626.00000000,2540.00000000,2567.26000000,138044.18030000,1642823999999
1642824000000,2567.69000000,2577.01000000,2423.66000000,2464.10000000,184518.73640000,1642838399999
1642838400000,2464.03000000,2504.84000000,2300.00000000,2431.07000000,311631.47123000,1642852799999
1642852800000,2431.07000000,2521.84000000,2381.00000000,2387.00000000,168409.14910000,1642867199999
1642867200000,2387.00000000,2464.84000000,2320.00000000,2337.35000000,169723.71880000,1642881599999
1642881600000,2337.65000000,2472.01000000,2320.00000000,2412.18000000,109030.29310000,1642895999999
1642896000000,2412.18000000,2463.87000000,2385.90000000,2416.68000000,69943.33310000,1642910399999
1642910400000,2416.68000000,2502.32000000,2407.08000000,2487.83000000,106708.73010000,1642924799999
1642924800000,2487.84000000,2556.78000000,2477.00000000,2498.26000000,118975.24310000,1642939199999
1642939200000,2498.26000000,2518.27000000,2405.01000000,2432.49000000,95571.95060000,1642953599999
